caseID,AQP1,SEPT8,RBM17,TRIM47,VPS25
TCGA-FC-A5OB-01,406.3089,895.0094,671.3559,132.7684,1108.7571
TCGA-FC-A8O0-01,1219.0202,1212.7762,1063.8617,273.7752,795.389
TCGA-G9-6366-01,2084.6398,647.1342,977.7778,228.3061,1560.3586
TCGA-G9-6367-01,3127.1612,946.7286,948.8952,388.2731,1211.2978
TCGA-G9-6370-01,3176.2341,1129.0665,1257.4222,385.785,1050.2122
TCGA-G9-6499-01,1684.6668,1026.9099,688.156,376.3771,1353.8017
TCGA-G9-7519-01,2351.5813,1000.5008,895.873,346.1132,1591.4529
TCGA-G9-7521-01,1667.5294,1286.4969,2119.9726,611.8872,1158.5867
TCGA-HC-7078-01,3687.5274,1226.6958,956.8796,330.8534,1291.4661
TCGA-HC-7233-01,2625.6632,967.3041,892.0807,355.6887,955.6711
TCGA-HC-7736-01,3067.3277,898.2115,1133.6981,240.9258,881.6412
TCGA-HC-7740-01,4780.1731,916.8074,1027.7323,380.4899,900.7601
TCGA-HC-7742-01,2683.5985,1144.8405,1101.4484,344.0901,1269.4184
TCGA-HC-7750-01,4309.3003,947.9811,891.9974,410.2582,1020.9027
TCGA-HC-8216-01,1011.5456,1328.8641,847.9503,219.491,708.1316
TCGA-HC-8264-01,6701.6356,1268.9272,1340.3486,500.2168,1106.5823
TCGA-HC-8266-01,2952.6627,1329.4118,957.1647,401.1765,1121.1765
TCGA-HI-7170-01,6162.7609,1071.7082,1070.1197,507.4393,784.8753
TCGA-J9-A8CL-01,2446.1883,1354.2601,1322.7354,274.6637,680.4933
TCGA-J9-A8CN-01,2884.3184,1211.7318,625.0838,128.4916,1264.8045
TCGA-KC-A7F3-01,2000.6606,1254.8887,689.0652,867.1861,1082.0277
TCGA-KC-A7FA-01,2576.2345,1504.2058,797.0213,388.4216,1385.9476
TCGA-KC-A7FE-01,6123.7053,1208.3389,1038.506,470.8749,1164.6844
TCGA-KK-A8IJ-01,2484.0448,969.7472,991.5872,300.0414,1078.7402
TCGA-KK-A8IL-01,1244.9529,1479.1386,826.8551,855.5406,983.4006
TCGA-M7-A721-01,3100.341,961.0326,1029.4545,393.5704,1186.5563
TCGA-TK-A8OK-01,12108.357,1243.1355,1441.8291,514.6147,605.403
TCGA-VN-A88I-01,10043.9713,1327.0115,1148.3333,841.954,806.3218
TCGA-VN-A88N-01,1417.658,1145.8204,1015.2576,287.3762,1094.24
TCGA-VN-A88P-01,3773.083,1238.823,880.0466,254.7011,1134.2329
TCGA-WW-A8ZI-01,1966.1124,1361.2035,658.1156,214.0934,922.882
TCGA-XJ-A83H-01,1178.6164,1154.717,776.3522,451.5723,1100.6289
TCGA-YL-A8S9-01,623.0208,966.9281,765.4779,137.2883,849.1874
TCGA-YL-A8SB-01,4277.8843,1273.486,1002.2195,405.5487,786.7373
TCGA-YL-A8SK-01,3423.4532,1357.0191,1182.0797,489.1681,813.2582
TCGA-YL-A8SQ-01,2231.8681,1068.1319,921.8956,254.9451,1031.8681
TCGA-YL-A8SR-01,5948.2221,1089.6598,760.2424,315.9342,1163.0496
TCGA-YL-A9WJ-01,3457.8913,943.3491,1397.5899,717.0222,1228.4672
TCGA-ZG-A8QW-01,2775.479,1157.0189,824.0918,546.5253,1253.2819
